FIELDNAME,CODE,VALUE
MEDIATYPE,11,普通券（大人）
MEDIATYPE,12,普通券（小児）
MEDIATYPE,21,回数券（大人）
MEDIATYPE,22,回数券（小児）
MEDIATYPE,31,企画券（大人）
MEDIATYPE,32,企画券（小児）
QRVALIDSTATUS,1,有効
QRVALIDSTATUS,2,有効（自動処理不可）
QRPUBLISHSTATUS,1,QRチケット発行済
QRPUBLISHSTATUS,2,QRチケット破棄済
QRPUBLISHSTATUS,10,QRチケット発行未了
QRPUBLISHSTATUS,11,QRチケット破棄未了
USESTATUS,0,未使用
USESTATUS,1,使用中
USESTATUS,2,使用済
GATESTATUS,0,出場
GATESTATUS,1,入場
GATESTATUS,2,ブランク
ENTRYSTATUS,0,出場
ENTRYSTATUS,1,入場
ENTRYSTATUS,2,ブランク
TICKETTYPE,1,普通券
TICKETTYPE,2,企画券
TICKETTYPE,3,回数券
TRANSFERZONE,0,なし
TRANSFERZONE,1,あり
PASSENGERTYPE,0,大人
PASSENGERTYPE,1,小児
ROUNDTRIPFLAG,0,なし
ROUNDTRIPFLAG,1,あり
FREESECTION,0,なし
FREESECTION,1,あり
TICKET2BIT5,0,割引無
TICKET2BIT5,1,割引有
TICKET2BIT4,0,大人
TICKET2BIT4,1,小児
TICKET2BIT1,0,連絡無
TICKET2BIT1,1,連絡有
